,age,income,class,response,segment,events
0,45,84.37723299618628,0,0,0,1
1,59,106.69195579100243,1,1,2,3
2,18,204.06922835319946,1,1,2,2
3,32,105.49180770334019,0,0,0,5
4,18,32.8319834703576,0,0,0,4
5,63,142.25502328658325,0,1,1,5
6,44,271.89924997220976,2,1,2,4
7,62,177.37693263702266,1,1,2,1
8,71,74.32126612778768,0,0,0,4
9,34,40.143684563437986,0,0,0,4
10,55,204.07991464680947,2,1,2,2
11,33,247.8078108483993,1,0,1,1
12,36,74.7347145931183,0,1,1,3
13,41,89.95813035473581,0,1,1,5
14,34,213.29739769771305,1,1,2,3
15,71,197.63280135669896,1,1,2,3
16,52,110.82089221515692,1,1,2,5
17,52,73.55517531039077,0,0,0,4
18,21,199.67983563384908,0,0,0,3
19,70,141.7059291350883,0,1,1,2
20,63,125.4193175604874,0,1,1,3
21,72,97.72656720779968,0,1,1,3
22,64,76.37070128986684,0,0,0,4
23,66,202.00637413372522,2,1,2,2
24,63,255.45535710929033,2,1,2,2
25,22,52.29552998942998,0,1,1,5
26,42,71.23059985397805,0,0,0,5
27,28,105.35939651380285,0,0,0,5
28,44,189.06729792350248,1,0,1,1
29,40,80.09086719872192,0,1,1,1
30,55,193.11057025841728,2,0,1,4
31,46,93.74966447465928,0,1,1,5
32,40,178.90638249348433,1,0,1,5
33,58,183.3946128023486,2,0,1,1
34,23,30.73190456716312,0,0,0,0
35,65,122.92031864134975,0,0,0,6
36,74,112.24896478195802,0,1,1,3
37,25,41.476893909277855,0,1,1,6
38,25,72.70811505346177,0,0,0,4
39,65,174.10712096245516,1,0,1,2
40,57,63.84359973445718,0,0,0,2
41,71,173.87289311555168,1,1,2,3
42,49,64.2972473329314,0,1,1,3
43,60,150.83092812830182,1,0,1,5
44,53,84.22470660333514,1,1,2,6
45,34,105.57334268456474,0,0,0,0
46,27,70.06600439624879,0,0,0,1
47,44,46.80825347732704,0,1,1,5
48,34,55.447841016089846,0,1,1,2
49,55,87.55788407842053,1,1,2,6
50,33,170.9989696226836,1,1,2,6
51,36,47.907840809025785,0,1,1,3
52,19,88.76321757900855,0,1,1,3
53,54,160.40319872431957,2,0,1,2
54,35,157.63231475066274,1,0,1,2
55,68,133.96405388706515,0,1,1,6
56,17,109.80920343253989,0,0,0,2
57,41,43.26046683307973,0,1,1,3
58,29,74.7756310198226,0,1,1,5
59,74,207.14641670164195,2,1,2,0
60,70,289.1340298460989,2,0,1,3
61,43,94.69590531628045,0,0,0,5
62,66,77.68062386979916,0,0,0,1
63,57,86.85830396943051,1,1,2,5
64,19,200.9605165550624,1,0,1,4
65,67,157.1803371330114,1,1,2,6
66,60,77.03863714106191,0,1,1,0
67,19,26.720913454537563,0,0,0,3
68,69,217.66150301651058,2,0,1,1
69,72,168.81085163156462,1,0,1,4
70,73,159.82508404708008,1,1,2,1
71,72,117.11428258403606,0,1,1,2
72,52,57.88606460390399,0,0,0,0
73,26,64.18888194337603,0,0,0,5
74,46,51.94964361357799,0,0,0,3
75,44,203.2010677560943,1,1,2,6
76,23,80.30927973865292,0,1,1,1
77,71,123.47934889248421,0,1,1,3
78,17,46.13221883036437,0,1,1,4
79,33,104.54791922506854,0,0,0,5
80,58,87.31651054258091,1,0,1,3
81,26,49.6445211479886,0,1,1,6
82,51,56.55763892041035,0,1,1,3
83,48,168.17101016545172,1,0,1,3
84,50,51.75533261441822,0,1,1,3
85,65,226.0305435028275,2,1,2,5
86,66,113.53983079498647,0,0,0,3
87,53,239.74197325416864,2,0,1,6
88,74,74.81483375915604,0,0,0,1
89,42,224.18213219417777,1,0,1,3
90,21,250.31806894458708,1,1,2,1
91,69,70.75326114765203,0,1,1,5
92,36,102.7912832215153,0,1,1,1
93,40,162.81739880441583,1,0,1,3
94,53,121.25273202641777,1,0,1,5
95,61,148.6047845182389,0,1,1,2
96,35,176.8865312660672,1,0,1,5
97,47,143.89771278797093,0,0,0,5
98,69,81.02710183370047,0,1,1,6
99,48,182.60864790988472,1,1,2,3
100,48,80.46471931215268,0,0,0,4
101,42,192.19471170363167,1,1,2,4
102,74,259.6520145185451,2,1,2,5
103,23,66.20118449065771,0,1,1,3
104,52,225.72251269672043,2,0,1,1
105,49,137.6214250746442,0,0,0,1
106,41,127.8926702784067,0,0,0,4
107,22,62.14247218487129,0,0,0,2
108,44,67.39697582033014,0,1,1,3
109,46,122.62613051579783,0,0,0,3
110,48,184.95729482830842,1,1,2,3
111,28,195.48170475973993,0,0,0,5
112,48,61.64788148010797,0,1,1,2
113,43,92.35860039620262,0,0,0,5
114,65,104.92387346262987,0,0,0,5
115,54,89.80781047250156,1,1,2,4
116,58,168.11535521004956,2,1,2,2
117,71,159.7164922477655,1,0,1,1
118,45,139.05866026781968,0,0,0,3
119,46,143.8001152275784,0,0,0,2
120,30,157.59332627502658,1,0,1,6
121,52,247.0053868057881,2,1,2,5
122,66,151.0081224752964,1,1,2,4
123,39,60.18447981005912,0,1,1,3
124,53,97.76184997668378,1,1,2,3
125,69,70.12356291587487,0,1,1,6
126,65,145.25672403656034,0,1,1,1
127,18,138.35430457402975,0,1,1,6
128,18,220.9180863274682,1,1,2,2
129,50,131.0387398628334,1,1,2,6
130,65,67.9129611747449,0,0,0,5
131,60,119.14568472788176,0,1,1,3
132,67,124.674300749888,0,1,1,4
133,30,169.95929135056224,1,1,2,2
134,25,119.7961299358759,0,1,1,6
135,34,219.48760378209585,1,1,2,2
136,31,43.592377131711416,0,0,0,3
137,20,81.26609291752459,0,0,0,3
138,17,80.87280899747677,0,1,1,3
139,31,181.60224788527094,1,0,1,6
140,48,82.10358845279397,0,0,0,4
141,55,76.5550170305986,1,0,1,6
142,67,203.59194369479695,2,1,2,2
143,28,80.26837066336759,0,1,1,0
144,59,110.38914944402873,1,1,2,4
145,68,82.69499179782927,0,0,0,4
146,25,91.32275534167866,0,1,1,4
147,35,70.13564504848364,0,0,0,1
148,31,59.44803766818026,0,0,0,5
149,37,47.28781570454915,0,0,0,5
150,66,75.17913279334908,0,0,0,2
151,65,164.93006544678883,1,1,2,2
152,59,108.1970392340004,1,0,1,4
153,34,96.20371229966989,0,0,0,1
154,31,48.457605379956306,0,0,0,3
155,24,34.24461529772906,0,0,0,6
156,37,44.36488459073972,0,0,0,1
157,33,66.00526781246903,0,0,0,5
158,51,66.6336990700806,0,1,1,4
159,36,155.46222675032791,1,1,2,2
160,18,67.03387437962904,0,1,1,5
161,16,125.60802075843854,0,0,0,1
162,46,219.78736478895854,1,0,1,3
163,51,124.02930251936567,1,1,2,1
164,25,173.54749732172675,0,1,1,0
165,31,157.6710760137457,1,0,1,3
166,38,82.84068454352233,0,1,1,2
167,55,122.42187976712643,1,0,1,0
168,39,44.52755469861438,0,1,1,5
169,53,122.21985267295648,1,0,1,4
170,25,228.76088114146117,1,1,2,3
171,29,41.89994251085065,0,1,1,1
172,52,130.3355103597974,1,1,2,4
173,24,65.66613696483202,0,1,1,5
174,58,170.35358297315213,2,0,1,6
175,43,133.85913365372147,0,1,1,5
176,27,117.28255279895762,0,1,1,1
177,62,127.31424487287555,0,0,0,2
178,46,71.428776861232,0,0,0,1
179,67,125.95402466875923,0,0,0,2
180,58,154.89206914100026,2,1,2,5
181,62,62.43825840309039,0,0,0,3
182,44,94.44629446339972,0,0,0,4
183,22,139.96077025964306,0,1,1,5
184,63,122.95686916782486,0,0,0,3
185,42,55.54536697257697,0,0,0,6
186,41,141.2913909723564,0,0,0,1
187,33,98.39125802832108,0,0,0,5
188,43,144.57924410003397,0,0,0,5
189,52,60.26021756241528,0,1,1,6
190,17,199.77785292940985,0,0,0,5
191,46,216.05571842414324,1,1,2,5
192,16,55.95724274688756,0,1,1,3
193,71,216.62453461094813,2,0,1,5
194,64,118.00803978299388,0,1,1,1
195,54,128.92583076157115,1,1,2,5
196,28,69.63544173987779,0,0,0,3
197,20,72.52278073329308,0,1,1,4
198,50,210.18061346927232,2,0,1,4
199,69,233.3631467419384,2,0,1,5
200,59,155.5286807251188,2,1,2,2
201,71,257.4352014763863,2,0,1,4
202,51,129.91285613028452,1,1,2,2
203,49,60.28751374498219,0,0,0,5
204,66,109.2864804582419,0,0,0,4
205,51,82.87798028839714,1,1,2,3
206,40,40.678598464091856,0,0,0,2
207,36,204.8000134106125,1,1,2,5
208,36,223.41741764740885,1,1,2,1
209,43,86.20142690272594,0,1,1,1
210,69,101.53288584018914,0,1,1,3
211,35,85.7011529082979,0,0,0,5
212,35,46.98478174918305,0,1,1,2
213,61,112.07376646738034,0,0,0,5
214,70,143.71491127396288,0,0,0,3
215,35,209.00101701966543,1,0,1,3
216,61,95.24420920883114,0,1,1,5
217,73,85.82508301895027,0,0,0,3
218,54,207.49211391862076,2,1,2,5
219,21,79.87648799987754,0,0,0,1
220,54,100.55204999159037,1,0,1,4
221,63,242.24725410810382,2,0,1,2
222,26,124.7624338899729,0,1,1,1
223,27,60.600502525187196,0,1,1,5
224,24,90.4152261839445,0,0,0,4
225,36,71.50847928636668,0,0,0,5
226,66,102.25736111316536,0,0,0,2
227,57,94.54867820568523,1,0,1,3
228,56,300.5047455962249,2,0,1,3
229,16,106.34156506397301,0,0,0,3
230,48,70.17990420965711,0,0,0,2
231,67,113.97008516003754,0,1,1,5
232,43,131.02310215071464,0,0,0,4
233,26,223.21368551629146,1,0,1,5
234,58,168.2300197545119,2,1,2,3
235,70,99.86737326439896,0,1,1,5
236,53,191.1319756237317,2,0,1,4
237,49,110.86980317586813,0,0,0,3
238,38,201.723992719694,1,0,1,5
239,44,179.52794119390398,1,0,1,4
240,44,56.94217127613205,0,1,1,5
241,51,76.97562414464,1,1,2,0
242,33,224.32631781582234,1,0,1,1
243,23,187.7398751508031,0,1,1,0
244,66,107.58759947822433,0,1,1,5
245,58,108.71845272968767,1,0,1,2
246,38,54.05749566378357,0,1,1,4
247,46,133.60505760877248,0,0,0,1
248,64,165.76463881412315,1,1,2,3
249,51,56.095641009290965,0,0,0,2
250,58,143.2637900615527,1,1,2,1
251,20,96.26413446613613,0,1,1,5
252,45,136.8971412351592,0,1,1,5
253,44,132.40053801571702,0,0,0,5
254,70,216.08337557471538,2,0,1,5
255,27,138.6175189907661,0,0,0,2
256,65,127.13954053181652,0,1,1,4
257,42,70.69834029885921,0,1,1,2
258,18,91.36922158138776,0,0,0,2
259,69,105.21482025032088,0,1,1,3
260,27,41.71126042404264,0,1,1,1
261,69,114.6466777049708,0,0,0,6
262,52,67.8930959054749,0,1,1,3
263,51,145.77989389461777,1,1,2,2
264,53,92.54468892796166,1,0,1,1
265,67,97.09602656295183,0,1,1,4
266,58,65.63809541632912,0,1,1,0
267,67,193.40299550893275,1,0,1,2
268,42,45.2444303252316,0,0,0,1
269,70,74.19986605023993,0,1,1,2
270,69,186.4123363760839,1,0,1,6
271,73,113.88600935270598,0,0,0,6
272,40,133.72936008005314,0,1,1,4
273,41,127.8689418623293,0,1,1,5
274,22,145.52777937109963,0,1,1,1
275,64,107.7590390762982,0,0,0,5
276,50,64.28823515936895,0,1,1,5
277,21,311.1059172402815,2,0,1,2
278,52,79.18005717290146,1,1,2,3
279,17,97.19858196950753,0,1,1,5
280,73,130.61631569398043,0,0,0,5
281,64,67.68700812622879,0,0,0,3
282,30,55.330331133083284,0,0,0,3
283,56,70.65106169165297,0,1,1,4
284,46,61.998159439450234,0,1,1,2
285,42,74.16400842020707,0,0,0,4
286,35,124.33225502889695,0,0,0,1
287,29,152.09847950213356,0,0,0,2
288,18,94.4576149110442,0,0,0,3
289,60,64.63055404814313,0,1,1,1
290,59,67.28635263172441,0,1,1,5
291,63,289.3081294236656,2,0,1,3
292,56,157.91075584004852,2,1,2,2
